YearMonth,Latitude,Longitude,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_PAR_TOT,CLRSKY_SFC_SW_DWN
201001,41.644,-87.94,0.42,6.12,2.46,1.68,1.18,2.82
201002,41.644,-87.94,0.42,6.36,2.69,2.32,1.66,3.93
201003,41.644,-87.94,0.48,6.82,3.84,3.63,2.27,5.3
201004,41.644,-87.94,0.53,7.71,4.5,5.1,2.89,6.66
201005,41.644,-87.94,0.48,8.37,4.28,5.26,3.35,7.55
201006,41.644,-87.94,0.51,9.25,4.84,5.91,3.57,7.86
201007,41.644,-87.94,0.56,9.42,5.47,6.31,3.51,7.67
201008,41.644,-87.94,0.57,9.36,5.67,5.72,3.11,6.81
201009,41.644,-87.94,0.53,8.46,4.93,4.35,2.56,5.67
201010,41.644,-87.94,0.58,7.39,5.25,3.56,1.88,4.29
201011,41.644,-87.94,0.48,6.79,3.47,2.1,1.27,2.96
201012,41.644,-87.94,0.42,6.16,2.64,1.49,1.04,2.47
201013,41.644,-87.94,0.51,7.68,4.17,3.95,2.36,5.33
201101,41.644,-87.94,0.39,6.05,2.25,1.57,1.19,2.83
201102,41.644,-87.94,0.41,6.35,2.75,2.23,1.65,3.91
201103,41.644,-87.94,0.49,6.68,3.63,3.72,2.26,5.32
201104,41.644,-87.94,0.39,7.7,2.53,3.75,2.87,6.6
201105,41.644,-87.94,0.43,8.51,3.19,4.7,3.3,7.46
201106,41.644,-87.94,0.5,9.08,4.17,5.83,3.48,7.74
201107,41.644,-87.94,0.54,9.56,5.25,6.08,3.47,7.58
201108,41.644,-87.94,0.57,9.06,5.53,5.75,3.14,6.92
201109,41.644,-87.94,0.47,8.45,3.8,3.85,2.5,5.61
201110,41.644,-87.94,0.55,7.34,4.96,3.39,1.87,4.26
201111,41.644,-87.94,0.4,7.03,2.62,1.74,1.26,2.91
201112,41.644,-87.94,0.41,6.58,2.57,1.47,0.99,2.34
201113,41.644,-87.94,0.48,7.7,3.6,3.67,2.33,5.29
201201,41.644,-87.94,0.44,6.26,3.11,1.78,1.17,2.76
201202,41.644,-87.94,0.47,6.37,3.65,2.6,1.65,3.91
201203,41.644,-87.94,0.52,7.61,4.45,3.96,2.31,5.28
201204,41.644,-87.94,0.53,7.37,5.09,5.04,2.98,6.84
201205,41.644,-87.94,0.57,8.27,6.13,6.26,3.44,7.76
201206,41.644,-87.94,0.63,8.68,7.38,7.23,3.68,8.23
201207,41.644,-87.94,0.57,9.77,5.53,6.37,3.48,7.61
201208,41.644,-87.94,0.56,8.95,5.77,5.62,3.08,6.84
201209,41.644,-87.94,0.57,8.12,5.45,4.66,2.5,5.62
201210,41.644,-87.94,0.47,7.55,3.52,2.86,1.83,4.18
201211,41.644,-87.94,0.51,6.71,3.43,2.21,1.26,2.95
201212,41.644,-87.94,0.34,6.88,1.82,1.22,0.98,2.32
201213,41.644,-87.94,0.54,7.71,4.61,4.15,2.36,5.36
201301,41.644,-87.94,0.45,6.06,3.02,1.82,1.18,2.8
201302,41.644,-87.94,0.38,6.45,2.63,2.1,1.67,3.95
201303,41.644,-87.94,0.44,6.5,3.48,3.37,2.32,5.46
201304,41.644,-87.94,0.48,7.36,4.41,4.56,2.94,6.78
201305,41.644,-87.94,0.48,8.44,3.84,5.26,3.35,7.55
201306,41.644,-87.94,0.5,8.97,4.29,5.81,3.56,7.89
201307,41.644,-87.94,0.52,9.14,5.09,5.85,3.51,7.72
201308,41.644,-87.94,0.54,9.09,4.78,5.44,3.05,6.75
